title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Analista De Business Intelligence: Estación Central (Presencial Y Teletrabajo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Business Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Business Intelligence Analyst (Proyecto,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analyst Business Planning Con Inglés Conversacional,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analyst Business Planning,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Business Intelligence (Bi),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Practicante Analista De Datos / Business Intelligence (Bi),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Contable,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Conciliacion Bancaria,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Tributario,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor Educativo Telefónico,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Contabilidad Y Finanzas (Las Condes),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Compras Y Abastecimiento,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Control De Gestión,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Junior De Remuneraciones Colina,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Junior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Compras Senior Para Santiago (Reemplazo Pre Y Post Natal),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Calidad / Lo Boza,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
...Urgente Analista De Remuneraciones – Rubro Construcción / Excel Intermedio – Erp Nubox...,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
++Ingreso Urgente Analista De Remuneraciones – Rubro Construcción / Excel Intermedio – Erp Nubox,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Control De Marcación De Turnos Y Asistencias Con Excel Avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Senior De Inventarios Con Experiencia En Retail O Cd,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Contable Semi Senior/ San Fernando,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Químico Chillán,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
